COR_SC 1131,COR_SC 1132,COR_CMT,COR_EDR,COR_EDR (LP),COR_ZP,DC Power Limit,COR_CHT,COR_LP,COR_SC 1141,SRV LAMDA,H2,Temp,Press
2357.761101,2455.857711,0.105109482,0.014681668,0.003195238,0.143622622,5.124196792,8821.770493,2690.901139,0.552723046,0.100343634,37.5608046,655,7370000
2281.418919,2628.95767,0.306475474,0.005840284,0.054038696,0.449092608,5.365531415,9903.500725,3473.798037,0.406899038,0.104396968,32.38068966,635,7380000
2441.60832,2527.588722,0.156490378,0.028108291,0.022123734,0.279586926,3.798594467,8269.579764,1582.631599,0.344024241,0.101492759,34.45896552,670,7390000
2534.562407,2466.259219,0.475186948,0.020076203,0.016173617,0.205999448,5.503806522,6669.995931,3127.128071,0.694983451,0.100696243,34.74103448,667,7380000
2499.550753,2465.68021,0.4581344,0.005571248,0.004417691,0.372314663,6.213231828,3207.638467,2446.943402,0.365177396,0.100021354,31.56356322,646,7380000
2478.506026,2461.695536,0.175759115,0.035527354,0.00191414,0.190308688,4.119584843,11380.43881,2249.49308,0.337259077,0.100474928,34.05862069,664,7380000
2387.797896,2597.369786,0.256048526,0.00789083,0.045691769,0.115123737,3.601556025,13576.49526,2395.465513,0.259919127,0.1011966,32.2645977,599,7380000
2208.317171,2458.603546,0.277214025,0.003422661,0.001305227,0.391901658,4.316440776,7585.926319,3935.403954,0.356647267,0.100407254,29.64827586,627,7390000
2222.19382,2488.38991,0.191184555,0.02225746,0.048285037,0.104917715,3.747765872,13666.86513,1982.884718,0.497570061,0.108593594,36.9645977,646,7380000
2425.012435,2659.338447,0.112510368,0.045597276,0.028029652,0.114007032,5.298855204,8867.453239,3557.096852,0.827574423,0.104642844,41.27045977,643,7390000
2197.084179,2493.322579,0.251155367,0.015604573,0.055376247,0.195487583,5.967815875,7558.951098,1689.501205,0.621059899,0.100992506,8.075875,562,7370000
2187.808392,2678.26825,0.202800121,0.004844515,0.002461707,0.229671836,4.673595787,11110.84145,2604.103344,0.662169603,0.102045798,12.23670732,598,7360000
2488.58196,2454.695338,0.12207973,0.010392421,0.017343,0.190999472,5.349825714,7919.090242,3313.573137,0.849233038,0.100161178,37.04896552,662,7380000
2217.84281,2695.293073,0.318191415,0.002157699,0.026985461,0.141003573,3.402425603,9627.042371,2415.298907,0.392058906,0.106645091,30.59827586,639,7380000
2449.286942,2737.384938,0.221929393,0.003302614,0.018614191,0.217747702,5.681038943,17436.66467,3137.83177,0.30394536,0.10122898,31.91770115,630,7360000
2352.197714,2723.46214,0.149348094,0.026915836,0.025668145,0.433472142,3.724735711,13509.45477,2388.353016,0.805626312,0.102384833,36.92229885,658,7400000
2476.069787,2639.01225,0.116283095,0.011413328,0.020127698,0.213736913,4.17287902,5904.10753,2620.650678,0.19668903,0.101240679,32.31942529,659,7380000
2304.085667,2567.524277,0.334926579,0.006233006,0.008444211,0.316026886,4.704767047,12037.47244,2196.90905,0.214729336,0.100010023,31.97827586,657,7380000
2439.172108,2688.42966,0.40409269,0.002591282,0.043426147,0.379076816,5.465736999,15239.38525,2327.322383,0.627889678,0.102007458,30.9816092,627,7370000
2178.068294,2606.001897,0.171193978,0.003349569,0.015236824,0.119772636,4.915073754,7846.493896,1723.633394,0.341855803,0.100557357,29.26482759,647,7370000
2145.67345,2535.332987,0.438351228,0.003107108,0.001036101,0.185540246,6.910169953,13708.95556,1364.496924,0.619645802,0.101391938,14.1786747,596,7380000
2286.858704,2636.051205,0.16944339,0.003140384,0.012449462,0.121938562,7.176663599,19291.3996,2837.575669,0.731578948,0.102212642,30.91494253,643,7370000
2262.751311,2464.223713,0.140752764,0.023928035,0.042157872,0.158794889,3.772539221,10361.1832,2537.243469,0.653058976,0.10000243,37.14586207,667,7380000
2538.438008,2794.491057,0.110128993,0.006553932,0.002169008,0.177040379,6.502927023,14671.73654,2818.109775,0.162804215,0.100924447,32.27735632,602,7370000
